popular_rank,startYear,endYear,type,orign_country,language,rating,numVotes,genres,isAdult
713,2020.0,2020.0,tvSeries,Spain,Spanish,6.8,6881.0,"Crime,Drama,Mystery",0
716,2019.0,2019.0,tvMiniSeries,United States,English,6.3,13409.0,"Drama,Thriller",0
720,2012.0,2015.0,tvSeries,Australia,English,8.3,14198.0,"Crime,Drama,Mystery",0
733,2021.0,2022.0,tvSeries,Spain,Spanish,6.5,6071.0,"Action,Adventure,Crime",0
736,2020.0,2022.0,tvSeries,United States,English,5.9,7773.0,"Drama,Mystery,Thriller",0
738,2020.0,2022.0,movie,Spain,Spanish,6.1,10925.0,"Drama,Horror,Mystery",0
741,2017.0,2019.0,tvSeries,France,French,7.5,8487.0,"Crime,Drama,Horror",0
743,2019.0,2021.0,movie,Colombia,English,5.4,6784.0,"Crime,Drama,Thriller",0
758,2016.0,2016.0,tvSeries,South Korea,Korean,8.3,10544.0,"Action,Comedy,Drama",0
768,2017.0,2020.0,tvSeries,Italy,Italian,7.9,12639.0,"Action,Crime",0
775,2020.0,2022.0,movie,United States,English,4.3,13387.0,"Crime,Drama,Thriller",0
781,2020.0,2020.0,tvSeries,United States,English,7.6,11398.0,"Drama,Sport",0
782,2018.0,2020.0,tvSeries,Italy,Italian,6.8,9048.0,Drama,0
783,2020.0,2020.0,tvMiniSeries,Australia,English,7.5,6983.0,Drama,0
789,2018.0,2020.0,tvSeries,Japan,Japanese,8.1,5511.0,"Action,Adventure,Animation",0
792,2002.0,2019.0,tvSeries,United Kingdom,English,8.8,6441.0,Comedy,0
793,2016.0,2019.0,tvSeries,Australia,English,7.4,6810.0,"Mystery,Thriller",0
801,2019.0,2021.0,movie,United Kingdom,English,4.8,7467.0,"Action,Crime,Drama",0
804,2016.0,2018.0,movie,United States,English,5.7,9912.0,"Crime,Drama",0
805,2017.0,2020.0,tvSeries,Spain,Spanish,7.6,12647.0,Drama,0
807,2018.0,2018.0,tvMiniSeries,United Kingdom,English,6.4,5591.0,"Drama,Fantasy,Mystery",0
812,2016.0,2017.0,tvSeries,South Korea,Korean,8.6,13169.0,"Comedy,Drama,Fantasy",0
821,2016.0,2018.0,tvSeries,United States,English,8.5,14039.0,"Action,Adventure,Animation",0
829,2018.0,2018.0,tvSeries,Japan,Japanese,7.4,6053.0,"Action,Animation,Drama",0
831,2019.0,2019.0,tvSeries,Russia,Russian,7.3,10075.0,"Drama,Sci-Fi,Thriller",0
833,2017.0,2019.0,tvSeries,Canada,English,7.5,7904.0,"Crime,Drama",0
835,2020.0,2022.0,movie,United States,English,5.6,8710.0,"Action,Adventure,Comedy",0
838,2017.0,2017.0,tvSeries,United States,English,6.9,14716.0,"Drama,Thriller",0
839,2020.0,2020.0,tvSeries,South Korea,Korean,8.2,7327.0,"Drama,Romance",0
842,2020.0,2022.0,short,United States,English,6.9,11452.0,"Drama,Sci-Fi,Short",0
846,2019.0,2019.0,tvSeries,United States,English,7.4,6688.0,Drama,0
850,2018.0,2018.0,tvMiniSeries,Japan,Japanese,7.6,14354.0,"Action,Animation,Fantasy",0
851,2018.0,2020.0,tvSeries,United States,English,7.2,14057.0,"Comedy,Drama",0
860,2019.0,2019.0,tvSeries,Spain,Spanish,6.4,5599.0,"Crime,Drama,Thriller",0
861,2017.0,2019.0,tvSeries,Japan,Japanese,7.2,5776.0,"Animation,Drama,Mystery",0
871,2020.0,2022.0,movie,United States,English,6.8,12731.0,Drama,0
872,2019.0,2021.0,tvSeries,United States,English,7.2,9334.0,"Drama,Sci-Fi",0
873,2006.0,2008.0,tvSeries,United States,English,7.6,5652.0,"Game-Show,Reality-TV",0
875,2020.0,2022.0,movie,United States,English,3.7,10109.0,"Action,Crime,Drama",0
878,2020.0,2020.0,tvSeries,South Korea,Korean,8.3,7467.0,"Fantasy,Mystery,Romance",0
